,State,District,Latitude,Longitude,District code,State name,Population,Male_Literate,Female_Literate,sex_ratio,literacy_rate
283,Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,MAHARASHTRA,4653570,1959220,1714588,95.0,79.0
284,Maharashtra,Nanded,19.209316983017,77.6829048951049,511,MAHARASHTRA,3361292,1255222,934203,94.0,65.0
285,Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,MAHARASHTRA,1648295,512099,394410,98.0,55.0
286,Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,MAHARASHTRA,6107187,2397538,1947828,93.0,71.0
287,Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,MAHARASHTRA,1657576,644304,493506,92.0,69.0
288,Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,MAHARASHTRA,1836086,666291,491523,95.0,63.0
289,Maharashtra,Pune,18.51696171428573,74.12922881632647,521,MAHARASHTRA,9429408,3940210,3231513,91.0,76.0
290,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,CHHATTISGARH,1493984,542756,408883,99.0,64.0
291,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,MAHARASHTRA,2634200,1059692,880302,96.0,74.0
292,Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,MAHARASHTRA,1615069,619012,580380,112.0,74.0
293,Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,MAHARASHTRA,2822143,1121550,927917,97.0,73.0
294,Maharashtra,Satara,17.6737908974359,74.18052064102558,527,MAHARASHTRA,3003741,1201034,1024660,99.0,74.0
295,Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,MAHARASHTRA,849651,348289,317778,104.0,78.0
296,Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,MAHARASHTRA,4317756,1651266,1259410,94.0,67.0
297,Maharashtra,Thane,19.698767747440264,72.79882742564581,517,MAHARASHTRA,11060148,4591396,3635765,89.0,74.0
298,Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,MAHARASHTRA,1300774,552617,466841,95.0,78.0
299,Maharashtra,Washim,20.282282394366213,77.25502394366208,502,MAHARASHTRA,1197160,487703,382214,93.0,73.0
300,Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,MAHARASHTRA,2772348,1115980,906594,95.0,73.0
301,Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,MANIPUR,237399,87313,69020,100.0,66.0
302,Manipur,Chandel,24.2635812987013,94.09443844155844,280,MANIPUR,144182,51053,39249,93.0,63.0
303,Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,MANIPUR,274143,104013,91922,97.0,71.0
304,Manipur,Senapati,25.08465586034914,94.03366234413956,272,MANIPUR,479148,148012,116465,94.0,55.0
305,Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,MANIPUR,140651,47403,37603,94.0,60.0
306,Manipur,Thoubal,24.545392553191498,93.97959893617023,276,MANIPUR,422168,152617,116687,100.0,64.0
